subject,node_modularity,node_num_nodes,node_num_edges,edge_modularity,edge_num_nodes,edge_num_edges,triangle_modularity,triangle_num_nodes,triangle_num_edges
139839,0.182285553172724,132,1588,0.481659795940383,900,9687,0.407042901516835,1206,12303
140319,0.200948208897975,144,1609,0.365658204951854,552,6163,0.234206451455701,510,5730
140925,0.162004671280277,155,1700,0.34899148785958,482,5627,0.316468410520194,887,8498
143224,0.217991137829661,133,1683,0.345537939595204,421,4796,0.209933798513562,687,7758
144125,0.16136949846553,137,1559,0.379534086399409,514,5423,0.177532693912806,569,6295
144832,0.191730468349236,118,1368,0.479814089789859,696,7247,0.368674645437281,827,8683
144933,0.171778955641992,134,1711,0.449213584495607,720,7702,0.352758652076382,852,8926
145127,0.276911939372917,157,2046,0.555564136362058,852,8446,0.465974223269144,911,9587
145632,0.249217429592372,98,1215,0.441953850582078,770,8215,0.333103295778773,788,8297
146129,0.195850192636802,120,1364,0.460061076732268,638,6827,0.379806541258264,948,9010
146432,0.193206652038053,126,1498,0.448637521602299,719,7579,0.326246213822411,813,8873
146533,0.181301757773431,191,2302,0.446094809030982,780,8371,0.477256073513832,1289,13128
146836,0.224040532817514,162,1978,0.47397392657672,550,5761,0.305427430040019,847,8758
146937,0.202501637945884,106,1153,0.429072455474978,601,6596,0.44097677861769,1196,12154
147030,-0.03677042728581,141,1549,0.229038415485127,233,2417,-0.0664950870938189,228,2391
147636,0.248714091226685,140,1732,0.438553257519821,676,7353,0.344363064057991,860,9197
147737,0.201672464579884,207,2509,0.372165551093193,637,6986,0.265729133880756,657,7011
148133,0.229995196086995,93,1070,0.430579681628513,539,5864,0.360433978868477,809,7755
148840,0.287956398627479,200,2413,0.53175276241585,668,6935,0.54625639131892,1094,10690
148941,0.230811217982091,133,1568,0.427660022261574,617,6656,0.530226104939458,1204,11626
149236,0.171264710784235,123,1494,0.445655619070566,607,6777,0.48943300451316,1080,9851
149741,0.15266113982803,106,1219,0.347221182481062,425,4810,0.463022797483326,833,8047
149842,0.209725233891185,324,3946,0.400288065843624,571,6480,0.276083270048743,787,8144
150726,0.229395765872022,173,2089,0.397101697188355,616,7057,0.338785688927833,1008,10043
150928,0.244989002186848,120,1484,0.304743764200262,355,4030,0.291913580685476,828,8588
151223,0.219089706845276,115,1447,0.344901548399431,364,4159,0.314625673177009,692,7472
151324,0.174962301452361,113,1306,0.407950455828636,452,4887,0.209744103519263,466,5050
151425,0.242574201822887,154,1815,0.478631433784866,619,6495,0.487899830884702,1320,11982
151526,0.162723933134449,92,1063,0.326592694763897,438,4683,0.308895054655015,633,7161
151627,0.23101391331265,163,1982,0.446241808031849,747,7879,0.354685154337034,847,9210
151728,0.0842183516048865,164,1762,0.270422651364354,254,2713,0.0777962506597197,493,5214
151930,0.248943960537142,165,2034,0.382449846561483,475,5454,0.452901060771628,1228,11452
152427,0.24463304577036,199,2429,0.344833057946061,531,5755,0.261963737360859,876,9532
153126,0.197277854861619,150,1745,0.505381346788122,753,7880,0.385358115217465,735,7575
153227,0.265912299244294,177,1958,0.483009573904535,702,7566,0.460808664126232,1159,11145
153833,0.192734544693189,107,1201,0.342749012767837,293,3196,0.166382481173207,400,4350
153934,0.218049318472704,187,2261,0.477779837510218,725,7812,0.509880543178888,1014,9770
154229,0.237876214581365,188,2334,0.416960835346752,715,7738,0.306355566301567,700,7698
154330,0.130049582871159,92,1012,0.294381769150141,403,4280,0.0934601105266813,513,5279
154532,0.0994239142619835,147,1772,0.383838064993764,493,5406,0.29533111315252,797,8806
